source_file,label,rpm,segment_index,rms-average,rms-stdev,rms-average + rms-stdev,kurtosis-average,kurtosis-stdev,peak-average,peak-stdev
ib600_2.csv,Inner Race Fault,600,0,0.12409142643407851,0.06995626735201094,0.19404769378608944,31.679759543451446,42.12938646006366,1.3724083374944067,1.3127345054756498
ib600_2.csv,Inner Race Fault,600,1,0.1591099456697882,0.06158297944982555,0.22069292511961375,79.69233600069897,66.76333089639871,2.245132790960916,1.1178983086859304
ib600_2.csv,Inner Race Fault,600,2,0.11929099283233584,0.06456634722963293,0.18385734006196877,57.12385017018612,59.056994376210966,1.599122374029665,1.001139406199434
ib600_2.csv,Inner Race Fault,600,3,0.13582532970913921,0.0943573056874731,0.23018263539661232,36.822118573884936,50.51002847842329,1.3698017887290137,1.2509114237952883
ib600_2.csv,Inner Race Fault,600,4,0.14334921561987177,0.0820773074085733,0.22542652302844507,35.26205747635578,36.36669558032269,1.5397180879868533,1.0770330659010967
ib600_2.csv,Inner Race Fault,600,5,0.12393262277227166,0.07711693241122079,0.20104955518349243,45.02373881191578,46.573594005149154,1.5039240399961202,0.9794324532599927
ib600_2.csv,Inner Race Fault,600,6,0.12394801936126365,0.08362246341894054,0.20757048278020418,49.94951800955671,83.38169332623951,1.360043829434168,1.179257665639617
ib600_2.csv,Inner Race Fault,600,7,0.13637871582109962,0.07263460877670862,0.20901332459780825,44.67862866204519,41.43189169150627,1.5521302728016502,1.1380556820935903
ib600_2.csv,Inner Race Fault,600,8,0.10687973670741144,0.0503897333310219,0.15726947003843333,56.01659757793559,85.80483329562135,1.2497316919975,1.2433308508469174
ib600_2.csv,Inner Race Fault,600,9,0.15700051779382468,0.08807314645541948,0.24507366424924415,61.34181599184042,71.12442985763592,1.834485486891468,1.2535481092198697
ib600_2.csv,Inner Race Fault,600,10,0.09558567199619952,0.032767479920616564,0.1283531519168161,47.61750651468089,65.62586655186115,1.099320250272356,1.14060051383644
ib600_2.csv,Inner Race Fault,600,11,0.16277117254173257,0.09320901902562319,0.25598019156735574,40.94206586326226,35.19004120599345,1.7412792685497434,1.147095691127236
ib600_2.csv,Inner Race Fault,600,12,0.09597908832785036,0.028966158210054178,0.12494524653790454,52.96463891645944,72.31948392198643,1.260977965395452,1.2969805630644853
ib600_2.csv,Inner Race Fault,600,13,0.13591607255022659,0.06503127885575782,0.2009473514059844,65.43970374777837,58.643533331069996,1.8391105400431242,0.9915629659387232
ib600_2.csv,Inner Race Fault,600,14,0.1042661825480006,0.041575627333057814,0.1458418098810584,52.999509949656996,75.31960614038624,1.3166341512229072,1.2547693365769261
ib600_2.csv,Inner Race Fault,600,15,0.1295013921255816,0.06888332286643668,0.19838471499201826,66.86662727866153,65.33304504920984,1.7691486171672266,1.2210291731836869
